model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
alternative_beta_prior,0.0,0.0,-1879.9,50.342,47.017,2.0495,3759.9,100.68
baseline,-0.18077,0.20658,-1880.1,50.359,47.259,2.0621,3760.2,100.72
