model,elpd_loo,se_elpd,looic,p_loo
baseline_beta_N02,-1880.0534974658033,50.36067852573391,3760.1069949316066,47.09312489136948
alternative_beta_N01,-1879.8587259934404,50.33884376330298,3759.717451986881,46.971758651291154
