price,log_price,model_year,age,mileage,log_mileage,brand,brand_group,fuel_type,transmission,accident,clean_title,row_id
19800,9.893437216682626,2016,8,120000,11.695255355062795,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,53
7500,8.922658299524402,2009,15,134602,11.8100849842059,Chrysler,Chrysler,Gasoline,Automatic,None reported,Yes,54
30999,10.341710224882465,2023,1,1094,6.9985096422506015,Nissan,Nissan,Gasoline,CVT,None reported,Unknown,55
6500,8.779557455883728,2010,14,83500,11.332613886815139,Audi,Audi,Gasoline,Automatic,None reported,Yes,56
28500,10.257659366256743,2014,10,37060,10.520320482745682,Ford,Ford,Gasoline,Manual,None reported,Yes,57
10995,9.305195902988862,2010,14,97700,11.489667073393028,Acura,Acura,Gasoline,Automatic,None reported,Yes,58
42000,10.645424897265505,2018,6,40000,10.596659732783579,Volvo,Volvo,Plug-In Hybrid,Automatic,None reported,Yes,59
144900,11.883799128308773,2018,6,8940,9.098402718735318,Audi,Audi,Gasoline,Automatic,None reported,Unknown,60
10000,9.210340371976184,2014,10,186000,12.133507329024972,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,Accident/damage reported,Yes,61
23998,10.085725772524334,2021,3,13180,9.486531677712465,Toyota,Toyota,Gasoline,CVT,None reported,Unknown,62
21000,9.95227771670556,2014,10,104000,11.552155793461898,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,63
67900,11.125791313546788,2023,1,8500,9.04793908261736,BMW,BMW,Hybrid,Automatic,None reported,Yes,64
69998,11.156221949194753,2019,5,19069,9.855871698594465,BMW,BMW,Gasoline,Automatic,None reported,Unknown,65
46900,10.75577295443437,2023,1,6090,8.714567550836485,Cadillac,Cadillac,Gasoline,Automatic,None reported,Yes,66
99000,11.502875129116727,2022,2,4900,8.497194544909547,Lucid,Other,Unknown/Other,Automatic,None reported,Yes,67
31000,10.341742483467284,2019,5,47523,10.768990125578178,Audi,Audi,Gasoline,Automatic,None reported,Yes,68
19995,9.90323752128092,2006,18,43000,10.668978650219241,Chrysler,Chrysler,Gasoline,Automatic,Accident/damage reported,Yes,69
130000,11.77528972943772,2017,7,14684,9.59458184363272,Bentley,Bentley,Gasoline,Automatic,None reported,Yes,70
55999,10.933089112414988,2019,5,57800,10.96476135554887,BMW,BMW,Gasoline,Automatic,None reported,Yes,71
49950,10.8187777840767,2023,1,952,6.859614903654202,Toyota,Toyota,Gasoline,Manual,None reported,Yes,72
59950,11.00126616045566,2019,5,21240,9.963688555226884,Audi,Audi,Gasoline,Automatic,Accident/damage reported,Yes,73
42499,10.657235825223923,2019,5,59338,10.991022041663719,Porsche,Porsche,Gasoline,Automatic,None reported,Yes,74
44999,10.714395546283317,2019,5,23230,10.053242872620965,Maserati,Maserati,Gasoline,Automatic,None reported,Yes,75
30000,10.308952660644293,2017,7,48000,10.778977123006351,Jaguar,Jaguar,Gasoline,Automatic,Accident/damage reported,Yes,76
11100,9.314700387300425,2005,19,41059,10.622789690572924,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,77
37998,10.545288805744486,2020,4,21240,9.963688555226884,Land,Land,Gasoline,Automatic,None reported,Unknown,78
72000,11.184421397998193,2015,9,11500,9.350189267092581,Porsche,Porsche,Gasoline,Automatic,None reported,Yes,79
53950,10.895812970686281,2021,3,9950,9.205428327615163,Genesis,Genesis,Gasoline,Automatic,None reported,Yes,80
